622,Niko Villarreal,2003/12/09,1306 Solidarity,Glendale,85051,Arizona,309 746 4369
749,Felicity Read,1974/12/22,7885 Kilbourn,Charleston,29405 ,South Carolina,302 970 4256
265,Brinley Barr,1942/05/07,1472 Leavenworth,Aurora,60525,Illinois,617 962 7385
387,Jaida Pate,1941/05/26,1027 Haskins,Long Beach,90747 ,California,415 225 1013
682,Hudson Sherman,1973/12/14,4403 Merchandise Mart,Naperville,60409,Illinois,631 714 9317
453,Sylvia Mcintosh,1994/05/07,7639 Kelso,Glendale,85084,Arizona,239 478 7822
413,Jaliyah Ramsey,1948/08/30,5836 Dan Ryan Eisenhower,Boise City,83912,Idaho,602 138 2820
247,Mario Diaz,1932/03/04,6460 Tan,Chula Vista,91902,California,385 559 6609
933,Estrella Rosa,1941/02/24,9998 Conservatory,Arlington,76731,Texas,775 286 0098
653,Meredith Jefferson,1961/05/17,2329 Lehigh,Garland,75015,Texas,908 248 6946
67,Katelyn Knowles,1950/11/28,6094 Muskegon,Charlotte,28431,North Carolina,512 895 3630
77,Eleanor Tucker,2016/10/24,3011 Bowler,Oklahoma City,73183,Oklahoma,239 933 3481
842,Melanie Hinton,1929/12/05,1191 Stevenson King Dr,Lansing,48886,Michigan,870 224 1349
851,Diego Molina,1930/08/09,2641 Lill,Long Beach,90740 ,California,415 693 7192
12,Amina Nelson,1973/12/05,2472 94th,Jacksonville,32656,Florida,614 706 4582
543,Emerson Delaney,1960/04/13,8006 Fork Chicago River,Las Vegas,89958,Nevada,402 136 6247
648,Jeramiah Burns,1966/04/13,2219 Mozart,Eugene,97465,Oregon,910 984 7557
155,Ray Richard,1907/08/08,8260 Loleta,Ann Arbor,48145,Michigan,763 263 4523
15,Jefferson Brennan,1966/10/19,4052 May,Kent,98006,Washington,810 699 8972
376,Wade Patrick,1924/08/08,6769 Maypole,Boston,02243,Massachusetts,978 490 1433
472,Bryce Trevino,1952/05/11,4366 Chicago River,Joliet,60468,Illinois,770 796 6531
812,Lyric Summers,1951/11/09,9365 Giddings,Gilbert,85202,Arizona,970 833 7182
363,Zeke Mendez,1958/05/23,2336 Eisenhower,San Francisco,94307,California,651 846 0168
296,Amos Jefferson,1906/05/07,38 Dayton,San Antonio,78544 ,Texas,601 689 4551
10,Braelynn Nixon,1948/03/06,8662 Linder,Chesapeake,23396,Virginia,304 130 3626
462,Orion Reyes,1943/08/18,3635 Garvey,Cincinnati,45283,Ohio,315 212 8960
